,review,sentiment
0,i angri made post avail via possibl site use plane trip one make mistak book place i made book via book com we stay night hotel juli upon arriv place small room nd floor hotel it turn room book i special reserv level duplex room would big window high ceil the room ok mind broken window close hello rain mini fridg contain sort bio weapon least guess smell i intim ask chang room explain time book duplex btw cost simpl doubl got way volum due high ceil offer room next day so check next day clock order get room wane not best way begin holiday so wait till order check new room wonder waist time the room got want peac intern garden view big window we tire wait room place belong rush citi in even turn constant nois room guess made vibrat vent tube someth constant annoy hell and stop even make hard fall asleep wife i audio record attach want send via e mail the next day technician came abl determin caus disturb sound offer chang room hotel fulli book room left one smaller seem newer,0
1,no neg,0
2,room nice elderli bit difficult room two stori narrow step so ask singl level insid room basic tea coffe boiler bar empti fridg,0
3,my room dirti i afraid walk barefoot floor look clean week white furnitur look nice pictur dirti door look like attack angri dog my shower drain clog staff respond request clean on day heavi rainfal pretti common occurr amsterdam roof room leak luckili bed could also see sign earlier water damag i also saw insect run floor overal second floor properti look dirti badli kept on top repairman came fix someth room next door midnight noisi mani guest i understand challeng run hotel old build neglig inconsist price demand hotel on last night i complain water damag night shift manag offer move differ room offer came pretti late around midnight i alreadi bed readi sleep,0
4,you when i book compani line show pictur room i thought i get pay arriv room book staff told could book villa suit theough directli which complet fals advertis after realis group lot room photo togeth leav consum confus extreamli disgruntl especi wife th birthday present pleas make websit clear price photo i realli know i pay much wnded your photo told i get someth i not happi use,0
5,backyard hotel total mess happen hotel star,0
6,cleaner chang sheet duvet everyday made bed they also clean floor chang bodi gel run,0
7,apart price brekfast everyth good,0
8,even though pictur show clean room actual room quit dirti outliv also check clock room readi time,0
9,the aircondit make much nois hard sleep night,0
10,noth great,0
11,am start big nois worker load wood window stupid room number system took minut night guard final find room the check staff point us wrong direct no late dinner bar close ugli view trash lorri window no inform computer telephon huge price differ book com price euro hotel price,0
12,the floor room filfi dirti veri basic room i yr old tv room fridg work overpr breakfast,0
13,no neg,0
14,the staff restaur could pleasant visit stop us book might night,0
15,no neg,0
16,veri steep step room bed safe children i ask move room put anoth ident one room decor minamilist i like felt prison cell spars,0
17,we like fact breakfast includ although could pay extra the room stay lack space bit bathroom badli lit use mirror meant get readi even bit tricki small neg comment,0
18,no neg,0
19,we issu electron key everyday it deactiv it kept near phone somehow issu the staircas bed steep handrail the tea coffe facil updat daili and floor dusti hair upon arriv that situat chang other minor issu hotel love,0
20,bed upper level narrow twist staircas no usb port mobil phone charg even via thr tv some socket work loos cover danger some corridor poorli lit,0
21,our room overr disast room dirti smelli hot noisi bang door corridor room we move couch bid dirt dust month clean appear smell gutter disturb light weak black bathroom worst design disast one imagin we found whole hotel dirti dusti date to spend euro dirti attic room daylight robberi,0
22,sadli i cannot say room clean enough when got room immedi notic someth wet sticki like juic someth next bed we call front desk said send clean ladi us we wait least half hour one show we go front desk complain when got back later even juic remov still hair spot we howev interest complain anymor also wall room curtain bathroom lot stain i ignor whole time i feel comfort the staff front desk friendli howev i guess pay realli bad clean ladi first greet clean staff run one hallway what annoy i got woke morn clean ladi close door loudli clean room and close loudli least hour they kept open close door i realli annoy i holiday i want good sleep least the park place small ok when arriv ticket machin broken someon told us need ticket get inform front desk check we paid day check when drove ticket machin broken so actual plug ticket paid lot money of cours pay park still i happi i feel i paid noth,0
23,transport bit pain rout destin amaz view everi corner,0
24,noth,0
25,the bathroom room black glass box it theori cool practic leav lot desir littl privaci enough light mirror shower leak hall it howev allow loft space desk chair second tv,0
26,noth hotel cours peopl tend slam bedroom door leav think littl lay prepar slam awak other noth fault,0
27,care still renov build start suit busi peopl want relax stay nois annoy,0
28,we differ room duplex ident floorplan there littl space staircas precari handrail wa kind pain go downstair everi time need someth luggag need use bathroom,0
29,there ongo construct enlarg hotel the hotel restaur nice overpr the bathroom practic,0
30,littl bit pricey side,0
31,extens restor work go we scaffold outsid window block view temporari recept area the build old hospit still see hospit aspect insid when work complet sure fabul no fridg room well one ineffect,0
32,our bathroom urin order shower slipperi no shower chair handl bar bed uncomfort mattress pad big felt like fall veri expens breakfast includ construct remodel go inconvenienc there park nice not close town museum,0
33,pleas see,0
34,the room cold although nice room decor basic unwelcom it could use design help area rug two,0
35,construct site mention book com the breakfast improv quit expens qualiti,0
36,clean well ladi push pay breakfast poor sign temporari recept renov,0
37,the glass wall separ bathroom toilet room weird solut doubl it necessari darken glass much,0
38,thing would better book night but apart realli much i dislik hotel i suppos one thing room i view room i dont tend go holiday sit hotel room stare window realli great deal i find i like plu stay night place perfect,0
39,staff friendli will enough help ran one gentleman seem train total ineffect everi question ask refer someon els make eye contact even say i know answer let find there seem manag around unfortun still lot construct go difficult see build like finish the temporari recept area small dark area central staircas bad breakfast overpr good ordinari buffet,0
40,sever part build outsid construct moment get recept requir littl search around also standard room locat toward rather frequent street get noisi open window thi rather necessari though due sleep area first floor room somewhat stuffi,0
41,hotel undergo build new wing caus us issu except sign build work meant recept temporari pop affair room tire need love first room broken window mechan sign damp chunk plaster miss around window area shower drain properli overflow coupl minut we request anoth room duli transfer better although bathroom light would work longer minut went guess problem transform overload fault report rectifi stay the build magnific room need care attent hotel would first rate,0
42,hotel go major construct renov mention book process staff poorli train check work breakfast staff interest sign breakfast check although i prepaid breakfast serv cappuccino room huge meter high ceil freez cold heat work bathroom hot room wa abl take shower morn water boil hot could regul temperatur forget work room work area feel like sanatorium and i paid never,0
43,water pressur shower exist feel bad even say,0
44,the servic aw they refus take ownership mistak part even ask morn,0
